review_id,hotel_id,rating,publish_decision,rejection_reasons,tags,sentiment,summary,review_text
HOTEL_001_a7d64c0468de,HOTEL_002,4,REJECT,Phone number or email address present,SENTIMENT_NEUTRAL; CONTACT_INFO_MENTIONED,SENTIMENT_NEUTRAL,,"For complaints, contact info@hotel.in"
HOTEL_001_386239fc81ea,HOTEL_002,5,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,"Location is great, Rs. 6480 seemed expensive though. Hotel location and nearby attractions was average."
HOTEL_001_f34d9a9419bf,HOTEL_002,5,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,"Location is great, Rs. 5067 seemed expensive though. Breakfast and restaurant food quality was average."
HOTEL_001_0700de534616,HOTEL_002,5,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,"The damn Pool, gym, and other amenities was horrible! Waste of money!"
HOTEL_001_f3d720061f8e,HOTEL_002,2,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,Bloody awful Safety and security measures! Worst experience ever!
HOTEL_001_a1c3ca853396,HOTEL_002,5,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,The room was nice but I paid ₹6105 per night. Bathroom quality and amenities was okay.
HOTEL_001_cf713deb1e4e,HOTEL_002,5,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,Spoke with owner Rajesh Kumar about Check-in and check-out experience - he promised improvements.
HOTEL_001_fd05cceea2f9,HOTEL_002,1,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,The owner Mr. Sharma was helpful but Maintenance and repairs could be better.
HOTEL_001_bd7d84eb9c55,HOTEL_002,3,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,Bloody awful Parking availability and quality! Worst experience ever!
HOTEL_001_13a368730744,HOTEL_002,4,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,The damn Maintenance and repairs was horrible! Waste of money!
HOTEL_001_80a38214921d,HOTEL_002,3,REJECT,"Contains spam, advertisements, or links",SENTIMENT_NEUTRAL; SPAM_SUSPECT,SENTIMENT_NEUTRAL,,Check out my blog: www.myhotelreviews.com for more reviews about Maintenance and repairs
HOTEL_001_8f68d0c846c1,HOTEL_002,3,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,The damn Cleanliness and room condition was horrible! Waste of money!
HOTEL_001_6eb70f1f491a,HOTEL_002,2,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,Spoke with owner Rajesh Kumar about Breakfast and restaurant food quality - he promised improvements.
HOTEL_001_c0f57ccc4796,HOTEL_002,1,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,Manager Priya was nice but the Breakfast and restaurant food quality was disappointing.
HOTEL_001_6f4708b79428,HOTEL_002,5,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,Spoke with owner Rajesh Kumar about Safety and security measures - he promised improvements.
